code+description
A+Land- und Forstwirtschaft, Fischerei
01+Landwirtschaft, Jagd und damit verbundene Tätigkeiten
01.1+Anbau einjähriger Pflanzen
01.11+Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten
01.11.0+Anbau von Getreide (ohne Reis), Hülsenfrüchten und Ölsaaten
01.12+Anbau von Reis
01.12.0+Anbau von Reis
01.13+Anbau von Gemüse und Melonen sowie Wurzeln und Knollen
01.13.1+Anbau von Gemüse und Melonen
01.13.2+Anbau von Kartoffeln sowie sonstigen Wurzeln und Knollen
01.14+Anbau von Zuckerrohr
01.14.0+Anbau von Zuckerrohr
01.15+Anbau von Tabak
01.15.0+Anbau von Tabak
01.16+Anbau von Faserpflanzen
01.16.0+Anbau von Faserpflanzen
01.19+Anbau von sonstigen einjährigen Pflanzen
01.19.1+Anbau von Zierpflanzen zum Schnitt
01.19.2+Erzeugung von Blumensamen
01.19.9+Anbau von sonstigen einjährigen Pflanzen a. n. g.
01.2+Anbau mehrjähriger Pflanzen
01.21+Anbau von Wein- und Tafeltrauben
01.21.0+Anbau von Wein- und Tafeltrauben
01.22+Anbau von tropischen und subtropischen Früchten
01.22.0+Anbau von tropischen und subtropischen Früchten
01.23+Anbau von Zitrusfrüchten
01.23.0+Anbau von Zitrusfrüchten
01.24+Anbau von Kern- und Steinobst
01.24.0+Anbau von Kern- und Steinobst
01.25+Anbau von sonstigem Obst und Nüssen
01.25.1+Anbau von Erdbeeren
01.25.9+Anbau von sonstigem Obst (ohne Erdbeeren) und Nüssen
01.26+Anbau von ölhaltigen Früchten
01.26.0+Anbau von ölhaltigen Früchten
01.27+Anbau von Pflanzen zur Herstellung von Getränken
01.27.0+Anbau von Pflanzen zur Herstellung von Getränken
01.28+Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke
01.28.0+Anbau von Gewürzpflanzen, Pflanzen für aromatische, narkotische und pharmazeutische Zwecke
01.29+Anbau sonstiger mehrjähriger Pflanzen
01.29.0+Anbau sonstiger mehrjähriger Pflanzen
01.3+Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken
01.30+Betrieb von Baumschulen sowie Anbau von Pflanzen zu Vermehrungszwecken
01.30.1+Anbau von Zimmerpflanzen, Beet- und Balkonpflanzen
01.30.2+Betrieb von Baumschulen
01.4+Tierhaltung
01.41+Haltung von Milchkühen
01.41.0+Haltung von Milchkühen
01.42+Haltung von anderen Rindern
01.42.0+Haltung von anderen Rindern
01.43+Haltung von Pferden und Eseln
01.43.0+Haltung von Pferden und Eseln
01.44+Haltung von Kamelen
01.44.0+Haltung von Kamelen
01.45+Haltung von Schafen und Ziegen
01.45.0+Haltung von Schafen und Ziegen
01.46+Haltung von Schweinen
01.46.0+Haltung von Schweinen
01.47+Haltung von Geflügel
01.47.1+Haltung von Legehennen zur Konsumeiererzeugung
01.47.2+Betrieb von Brütereien
